URL,Score,Keywords Found,type_page,description,headline,datePublished,dateModified,author
https://www.bbc.co.uk/news/topics/cv1v5k4n4p5t?page=5,2,['cass'],CollectionPage,,Young people - BBC News,,,[]
https://www.bbc.co.uk/news/england/cambridgeshire?page=13,1,['trans '],CollectionPage,,Cambridgeshire | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/cv1v5k4n4p5t?page=23,3,"['trans ', 'trans?']",CollectionPage,,Young people - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cv1v5k4n4p5t?page=26,1,['transgender'],CollectionPage,,Young people - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cv1v5k4n4p5t?page=41,2,"['non-binary', 'non-binary']",CollectionPage,,Young people - BBC News,,,[]
https://www.bbc.co.uk/sport/football/teams/southampton?page=12,1,['cass'],CollectionPage,,Southampton - BBC Sport,,,[]
https://www.bbc.co.uk/news/england/bristol?page=19,1,['transgender'],CollectionPage,,Bristol | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/world?page=38,2,['trans '],CollectionPage,,World | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt,2,"['trans ', 'trans people']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=2,3,['queer'],CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=3,1,['trans '],CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=4,2,"['transgender', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cmj34zmw7vmt?page=4,1,['trans '],CollectionPage,,Indonesia - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=5,1,['gender identity'],CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=6,3,"['transgender', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cmj34zmw7vmt?page=6,1,['transgender'],CollectionPage,,Indonesia - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=7,4,"['transgender', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=8,1,['queer'],CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/england/essex,2,['cass'],CollectionPage,,Essex | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=9,8,"['trans ', 'transgender', 'cass']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=10,1,['cass'],CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=11,6,"['trans ', 'gender-critical', 'trans woman', 'cass']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=12,5,"['trans ', 'transgender']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=13,5,"['trans ', 'transgender']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cmj34zmw7vmt?page=13,5,"['trans ', 'transgender', 'trans rights']",CollectionPage,,Indonesia - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=14,7,"['trans ', 'gender critical', 'trans man', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=15,2,"['transgender', 'gender-critical']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=16,11,"['trans ', 'transgender', 'trans people', 'gender identity', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=17,1,['trans '],CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=18,9,"['trans ', 'non-binary', 'adult human female', 'trans woman', 'queer', 'non-binary']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=19,5,"['trans ', 'transgender', 'gender identity', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=20,10,"['trans hate', 'trans ', 'trans man', 'trans woman', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=21,8,"['trans ', 'transgender', 'trans people', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/england/essex?page=14,1,['cass'],CollectionPage,,Essex | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=22,9,"['trans ', 'trans rights', 'gender-critical', 'queer']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/scotland/scotland_politics?page=17,2,['cass'],CollectionPage,,Scotland Politics | Latest News & Updates | BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=24,4,"['trans ', 'trans people']",CollectionPage,,LGBT - BBC News,,,[]
https://www.bbc.co.uk/news/topics/cp7r8vgln2wt?page=25,2,"['trans ', 'transgender']",CollectionPage,,LGBT - BBC News,,,[]
