Keyphrase,Score,Keyphrase Correlates,Found Keywords,Found Keywords Anti
friend,0.3333333333333333,True,[],[]
crime,0.6666666666666666,True,[],[]
suspect,0.32196969696969696,True,[],[]
petrol pump,0.3333333333333333,True,[],[]
student,0.2992424242424242,True,[],[]
dance company,0.3333333333333333,True,[],[]
client,0.3333333333333333,True,[],[]
group,0.6098484848484849,True,[],[]
right,0.2765151515151515,True,[],[]
mourner,0.3333333333333333,True,[],[]
funeral,0.32196969696969696,True,[],[]
hate crime,0.6666666666666666,True,[],[]
phone,0.2765151515151515,True,[],[]
u,0.20833333333333331,True,[],[]
beacon,0.3333333333333333,True,[],[]
sense,0.32196969696969696,True,[],[]
shae sibley,0.3333333333333333,True,[],[]
paid tribute,0.3333333333333333,True,[],[]
pleads,0.3333333333333333,True,[],[]
dancer fatally,0.32196969696969696,True,[],[]
dancer fatally stabbed,0.3333333333333333,True,[],[]
fatally stabbed,0.3333333333333333,True,[],[]
stabbed mr,0.3333333333333333,True,[],[]
stabbed mr sibley,0.3333333333333333,True,[],[]
hate,0.6666666666666666,True,[],[]
share,0.3939393939393939,True,[],[]
brooklyn,0.3333333333333333,True,[],[]
caption,0.587121212121212,True,[],[]
europe,0.5303030303030303,True,[],[]
face,0.2424242424242424,True,[],[]
news,0.26515151515151514,True,[],[]
american,0.3106060606060606,True,[],[]
league,0.2765151515151515,True,[],[]
nearly,0.2992424242424242,True,[],[]
last year,0.28787878787878785,True,[],[]
half,0.32196969696969696,True,[],[]
buffalo,0.32196969696969696,True,[],[]
report,0.28787878787878785,True,[],[]
data,0.2765151515151515,True,[],[]
country,0.28787878787878785,True,[],[]
law,0.2992424242424242,True,[],[]
incident,0.32196969696969696,True,[],[]
recorded crime,0.3333333333333333,True,[],[]
number,0.1515151515151515,True,[],[]
fbi,0.32196969696969696,True,[],[]
researcher,0.3333333333333333,True,[],[]
reporting,0.3333333333333333,True,[],[]
video,0.1174242424242424,True,[],[]
nation,0.32196969696969696,True,[],[]
figure,0.3106060606060606,True,[],[]
large increase,0.3333333333333333,True,[],[]
jumped,0.3333333333333333,True,[],[]
law enforcement,0.3106060606060606,True,[],[]
african,0.3333333333333333,True,[],[]
anti,0.3333333333333333,True,[],[]
propaganda,0.3333333333333333,True,[],[]
covering,0.3333333333333333,True,[],[]
increased,0.3333333333333333,True,[],[]
responsible,0.3333333333333333,True,[],[]
said,0.1515151515151515,True,[],[]
