URL,Score,Keywords Found,type_page,description,headline,datePublished,dateModified,author,byline,excerpt,lang
https://www.bbc.co.uk/news/articles/cp668l38j23o,1.0086750788643533,"gender-based, gender-",webpage,"The money has been collected from ""tap"" contactless donation points in the city.",Bristol BIDs donate £20k to three homeless charities - BBC News,,,,BBC News,"The money has been collected from ""tap"" contactless donation points in the city.",en-GB
https://www.bbc.co.uk/news/articles/cn00xl6n8ldo,1,gender-,webpage,"Will Narendra Modi, who has dominated Indian politics for a decade, be able to run a coalition government?",Narendra Modi: Will coalition turn him into a humbler leader? - BBC News,,,,Soutik Biswas,"Will Narendra Modi, who has dominated Indian politics for a decade, be able to run a coalition government?",en-GB
https://www.bbc.co.uk/sounds/play/w3ct4m7y,1.1616208663251049,gender-,webpage,"Catch up on your favourite BBC radio show from your favourite DJ right here, whenever you like. Listen without limits with BBC Sounds.",Assignment - The mighty Mekong’s last hope - BBC Sounds,,,,,A journey though Cambodia where the Mekong river is feared to be in crisis,en-GB
https://www.bbc.co.uk/news/world-asia-67305693,1,transgender,webpage,A slowing economy and safety concerns are some of the reasons why Chinese tourists are staying away.,Chinese tourists are returning - but not to Thailand - BBC News,,,,Jonathan Head,A slowing economy and safety concerns are some of the reasons why Chinese tourists are staying away.,en-GB
https://www.bbc.co.uk/news/world-asia-59569649,2,"gender-based, gender-",webpage,Samoa's first woman prime minister has been supported throughout her career by a group of powerful female friends.,The ‘gals’ behind Samoa’s first woman PM - BBC News,,,,Megha Mohan and Yousef Eldin,Samoa's first woman prime minister has been supported throughout her career by a group of powerful female friends.,en-GB
https://www.bbc.co.uk/news/world-asia-india-49737886,2,"third gender, gender-",webpage,"Noises about taking over Pakistan-administered Kashmir could lead to a rise in tensions, say experts.",Kashmir crisis: How to read India's threat to Pakistan - BBC News,,,,Soutik Biswas,"Noises about taking over Pakistan-administered Kashmir could lead to a rise in tensions, say experts.",en-GB
https://www.bbc.co.uk/news/entertainment-arts-56326337,3.1957951760608796,"gender-, transgender, gender identity",webpage,The presenter left Good Morning Britain this week after a row over Meghan's interview with Oprah.,Piers Morgan: From Meghan's 'ghosting' to Good Morning Britain exit - BBC News,,,,Steven McIntosh,The presenter left Good Morning Britain this week after a row over Meghan's interview with Oprah.,en-GB
https://www.bbc.co.uk/news/uk-66632652,1.404263959390863,gender-,webpage,The row over Luis Rubiales kissing Jenni Hermoso has struck a chord with women around the world.,Hermoso kiss sparks sexism debate beyond football - BBC News,,,,Fiona Nimoni,The row over Luis Rubiales kissing Jenni Hermoso has struck a chord with women around the world.,en-GB
https://www.bbc.co.uk/news/business-57382955,2,trans rights,webpage,"The rise of email ""newsletter"" providers that allow writers to directly connect with readers.",'I can speak freely and use swear words as I see fit' - BBC News,,,,David Silverberg,"The rise of email ""newsletter"" providers that allow writers to directly connect with readers.",en-GB
https://www.bbc.co.uk/news/newsbeat-65558426,1,"gender-neutral, gender-",webpage,"Fans who got to see the singer kick off her 43-date spectacular spill the beans on the ""crazy"" show.",Beyoncé Renaissance world tour: What to expect from Queen Bey - BBC News,,,,Jack Gray,"Fans who got to see the singer kick off her 43-date spectacular spill the beans on the ""crazy"" show.",en-GB
