0,1,2,3,4
Programme,Service,Date of  Transmission,Main Issue(s),Number of  Complaints
Question Time,BBC One,22/06/2023,Audience biased in  favour of Brexit/  Panellist’s claim re  Irish Government  “weaponizing” the  border/audience  member’s claim re  immigrants’ rights to  benefits.,200
Sunday with  Laura Kuenssberg,BBC One,25/06/2023,Guest’s criticism of  the Conservatives not  sufficiently challenged,166
