0,1,2,3,4,Matched URL
Programme,Service,Date of  Transmission,Main Issue(s),Number of  Complaints,
Election 2024:  BBC Election  Debate,BBC One,07/06/2024,Felt the audience had  a left-leaning bias.,264,
Doctor Who,BBC One,08/06/2024,Inappropriate for the  Doctor to kiss a man.,169,
Question Time,BBC One,13/06/2024,Bias against Kate  Forbes/SNP.,145,
