0,1,2,3,4
Programme,Service,Date of  Transmission,Main Issue(s),Number of  Complaints
Wimbledon,BBC One,04/07/2022,Bias against Nick  Kyrgios.,112
Wimbledon,BBC One,10/07/2022,Bias both for and  against Nick Kyrgios /  audible on-court  swearing /  inappropriate to  broadcast  unsportsmanlike  behaviour.,150
Women’s Euros  2022,BBC Two,12/07/2022,Inappropriate or  “racist” to discuss  diversity in sport.,222
