0,1,2,3,4
Programme,Service,Date of  Transmission,Main Issue(s),Number of  Complaints
Today,Radio 4,08/09/20,Inaccurate to suggest  there is debate about  whether climate  change is an  ‘emergency’.,116
Breakfast,BBC One,04/09/20,Incorrect flag used to  illustrate Northern  Ireland,271
