0,1,2,3,4,Matched URL
Programme,Service,Date of  Transmission,Issue,Outcome,https://www.bbc.co.uk/contact/ecu/bbc-news-10pm-bbc-one-18-may-2020
Newsnight,BBC Two,3/06/20,Misleading  comparison between  Covid-19 figures in  the UK and Europe.,Not upheld,
"Art of Now, Raw Meat",Radio 4,28/04/20,Inappropriate  content for time of  day,Not Upheld,
Last Tango in Halifax,BBC One,23/02/20,Use of strong  language,Not Upheld,
BBC News (10pm),BBC One,26/05/20,Graphic images from  ICU ward,Not Upheld,
Canada’s Drag Race (trail),BBC Two,26/6/20,Inappropriate  images pre- watershed,Not upheld,
Today,Radio 4,25/04/20,Mary Wakefield  unchallenged on  lockdown account,Not upheld,
Newsnight,BBC Two,18/09/19,Bias against Iran,Not Upheld,
BBC News (10pm),BBC One,18/05/20,Inappropriate  comment about  Scottish First  Minister,Resolved,
PM,Radio 4,14/02/20,Biased interview  with man accused of  transphobic tweets,Not Upheld,
