0,1,2,3,4
P rogramme,Service,Date of  Transmission,Main Issue(s),Number of  Complaints
The Archers,Radio 4,12/09/2018,Felt the programme  was biased in favour  of hunting with  hounds.,145 further  complaints  (after an  invitation to  complain was  posted online  by an anti- hunting group.)
The Andrew  Marr Show,BBC One,23/09/2018,Felt the interview  with Jeremy Corbyn  was biased against Mr  Corybn/Labour Party.,127
