0,1,2,3,4
Eurovision Song Contest,BBC One,11/05/2024,Inappropriate act  (UK),Not Upheld
Miranda,BBC Two,20/04/2024,Homophobic and  transphobic dialogue,Not Upheld
Glastonbury,BBC Two,30/06/2024,Glorifying use of  machetes,Not Upheld
News (6pm),BBC One,10/06/2025,Failure to mention  immigration as  primary cause of  housing shortage,Not Upheld
Election 2024: BBC Prime  Ministerial Debate,BBC One,26/06/2024,Transphobic bias,Not Upheld
News (10am),News Channel,15/02/2024,Inaccurate  description of Israeli  military action,Not Upheld
