0,1,2,3,4
Programme,Service,Date of  Transmission,Main Issue(s),Number of  Complaints
Woman’s Hour,Radio 4,20/10/2020,Reference to some  women’s rights  groups being accused  of transphobia.,193 (after  invitations to  complain were  posted online)
