0,1,2,3,4,Matched URL
P rogramme,Service,Date of  Transmission,Main Issue(s),Number of  Complaints,
Newsnight,BBC Two,27/07/2018,Felt it was inaccurate  for the presenter to  describe an  interviewee’s  statement that  Facebook facilitated  illegal campaigning by  Vote Leave during the  referendum as an  “allegation”.,172,
Newsnight,BBC Two,31/07/2018,Felt the coverage of  claims of anti-Semitism  in the Labour Party was  biased against them  and/or the interview  with Louise Ellman  about the 2010  Holocaust event  attended by Jeremy  Corbyn was  misleading.,109,
