0,1,2,3,4
Programme,Service,Date of  Transmission,Main Issue(s),Number of  Complaints
Dragons’ Den,BBC One,18/01/2024,Business pitch felt to  contain misleading  medical claims.,478 (invitations to  complain were posted  online)
Sunday with  Laura Kuenssberg,BBC One,21/01/2024,Bias against Yvette  Cooper/the Labour  Party.,150
