0,1,2,3,4
P rogramme,Service,Date of  Transmission,Main Issue(s),Number of  Complaints
Victoria  Derbyshire,BBC Two,09/05/2019,Balloon image of President  Trump in the studio was  inappropriate/biased  against him.,991
BBC News  Special: EU  Elections 2019,BBC One,26/05/2019,A Claims of bias both against  and in favour of Brexit or  the Brexit Party.  lastair Campbell implying  the Brexit Party are funded  by Russia.,573
