0,1,2,3,4
Programme,Service,Date of  Transmission,Main Issue(s),Number of  Complaints
Boat Story,BBC One,19/11/2023,Violence.,208
EastEnders,BBC One,22/11/2023,Insensitive sexual  assault storyline.,160
Doctor who,BBC One,25/11/2023,Anti-male /  inappropriate  inclusion of  transgender  character.,144
