0,1,2,3,4
P rogramme,Service,Date of  Transmission,Main Issue(s),Number of  Complaints
Newsnight,BBC Two,09/12/2019,Bias against Barry  Gardiner.,115
Question Time  Election Special:  Under 30s,BBC One,09/12/2019,Bias against older  people / inaccurate  representation of  younger people.,177
Breakfast,BBC One,10/12/2019,Bias against Robert  Buckland.,160
Politics Live,BBC Two,11/12/2019,Inappropriate to  discuss the postal  vote.,"15,204"
