0,1,2,3,4
Reporting Scotland,BBC One  Scotland,02/04/2024,Objects to phrase  “claiming a scalp”,Not upheld
Station ident,BBC One,Various,Stereotyping of black  people,Not upheld
Doctor Who,BBC One,08/06/2024,Inappropriately  sexualised storyline,Not upheld
