0,1,2,3,4
Programme,Service,Date of  Transmission,Main Issue(s),Number of  Complaints
Moral Maze,Radio 4,23/06/21,Bias in favour of trans  participation in  women’s sport.,165 (after  invitations to  complain were  posted online).
