0,1,2,3,4,Matched URL
BBC News (1pm),BBC One,12/04/2024,Misleading report on  Post Office enquiry,Not upheld,https://www.bbc.co.uk/contact/ecu/bbc-news-1pm-6pm-bbc-one-12-april-2024
Election 2024: BBC  Election Debate,BBC One,07/06/2024,Bias towards the left  x 2,Not upheld,https://www.bbc.co.uk/contact/ecu/election-2024-bbc-election-debate-bbc-one-7-june-2024
Election 2024 Scotland,BBC Scotland,04/07/2024,Failed to point out  guest’s Labour  affiliation,Not upheld,https://www.bbc.co.uk/contact/ecu/election-2024-scotland-the-results-bbc-one-scotland-5-july-2024-2024
