0,1,2,3,4
Programme,Service,Date of  Transmission,Main Issue(s),Number of  Complaints
The Jetty,BBC One,15/07/24,Scenes inappropriate  for broadcast.,193
BBC News at One,BBC One,25/07/24,Broadcast footage of  Manchester Airport  Incident was too  graphic.,157
Olympics 2024:  Opening  Ceremony,BBC One,26/07/24,Felt parts of the  ceremony were  offensive to  Christians/overly  sexualised.,148
