0,1,2,3,4
The Connor Phillips Show,Radio Ulster,11/11/2021,Inappropriate  treatment of  Armistice Day,Not upheld
Points West,BBC One (West),09/09/2021,Failure to challenge  “lie” about money  promised to NHS,Not upheld
