0,1,2,3,4
The World Tonight,Radio 4,01/04/2019,Pro-Remain bias in  report of Commons  indicative votes,Not  Upheld
BBC Six O’Clock  News & BBC News  at Ten,BBC One,11/04/2019,Failed to state  party affiliation of  interviewee,Upheld
Business Briefing,BBC News  Channel,28/03/2019,Appearance of bias  against no-deal  Brexit x2,Upheld
Comic Relief,BBC One,15/03/2019,Scenes of male  strippers  objectified men,Not  Upheld
