0,1,2,3,4,Matched URL
Programme,Service,Date of  Transmission,Main Issue(s),Number of  Complaints,
Today,Radio 4,22/05/2024,Bias against Jeremy  Hunt.,152,
BBC News (10am),BBC News  Channel,28/05/2024,Description of Nigel  Farage’s language as  ‘inflammatory’.,757,
Question Time,BBC One,11/05/2024,Nigel Farage felt to be  inappropriate  panellist.,375,
