0,1,2,3,4
Programme,Service,Date of  Transmission,Main Issue(s),Number of  Complaints
BBC News (6pm),BBC One,01/08/2024,Insensitive interview  with a child re  Southport stabbing /  insensitive or  stigmatising to report  suspected Southport  attacker’s autism.,114
BBC News  (10pm),BBC One,01/08/24,Insensitive interview  with a child re  Southport stabbing /  insensitive or  stigmatising to report  suspected Southport  attacker’s autism.,247
BBC News  (5.30pm),BBC One,04/08/2024,Inaccurate to refer  violent protests as  ‘pro-British’.,404
