0,1,2,3,4
Programme,Service,Date of  Transmission,Main Issue(s),Number of  Complaints
Sunday Politics,BBC One,16/01/2022,Bias against Sir Keir  Starmer / Piers  Morgan’s views not  sufficiently  challenged.,136
