0,1,2,3,4
P rogramme,Service,Date of  Transmission,Main Issue(s),Number of  Complaints
Question Time,BBC One,25/04/19,Felt John Rhys-Davies  behaviour and views  were offensive /  Claims of bias against  Brexit / Felt Caroline  Lucas’s suggestion that  Nigel Farage was  ‘whipping up a lot of  hatred and racism’ was  inappropriate.,313
BBC News  (9am),BBC  News  Channel,21/04/19,Felt Thusiyan  Nandakumar of the  Tamil Guardian  expressed offensive or  misleading views on the  Sri Lankan bombings.,223
