0,1,2,3,4
News (8am),Radio 4,21/03/2024,Inaccuracy about  climate change,Not upheld
Newswatch,BBC News  Channel,01/03/2024,Unfair to  complainant,Not upheld
The News Quiz,Radio 4,09/02/2024,Made light of global  warming,Not upheld
Look East,BBC One (East),24/04/2020,Inaccurate about  National Grid  construction project,Not upheld
The World Today,BBC News  Channel,10/04/2024,Bias against Cass  Report,Not upheld
Good Morning Scotland,Radio Scotland,11/05/2024,Anti-SNP bias,Not upheld
Today,Radio 4,07/03/2024,Aggressive interview  with Jeremy Hunt,Not upheld
The Infinite Monkey Cage,Radio 4,02/12/2023,Objected to “boring  white men”  reference,Not upheld
Sunday with Laura  Kuenssberg,BBC One,14/04/2024,Insufficient challenge  to Israeli spokesman,Not upheld
