0,1,2,3,4
P rogramme,Service,Date of  Transmission,Main Issue(s),Number of  Complaints
The Vicar of  Dibley in  Lockdown,BBC One,14/14/2020,Unhappy episode  included reference to  ‘Black Lives Matter’  movement,266
The Andrew Marr  Show,BBC One,13/12/2020,Felt Marr interrupted  Ed Miliband too much  and was defending  the government over  Brexit,177
Breakfast,BBC One,18/12/20,Aggressive behaviour  toward schools  minister,111
