0,1,2,3,4,Matched URL
P rogramme,Service,Date of  Transmission,Issue,Outcome,
Look North,BBC One,"20/05/2018,   21/05/2018  and  20/07/2018",Inaccurate  description of  boxing champion  as first from Leeds  to win World Title,Partly upheld,
Anna Foster,Radio 5 live,22/05/2018,Inaccurate  portrayal of  diagnosis and  effects of Lyme  Disease,Not Upheld,
Newsnight,BBC Two,08/03/2018,Bias and  inaccurate  account of  bullying  allegations  against MP,Not Upheld,
Newsnight,BBC Two,22/03/2018,Bias and  inaccurate  account of  bullying  allegations  against MP,Not Upheld,
