0,1,2,3,4,Matched URL
Programme,Service,Date of  Transmission,Issue,Outcome,https://www.bbc.co.uk/contact/ecu/panorama-road-rage-cars-v-bikes-bbc-one-2-november-2022
Panorama-Road Rage;  Cars vs Bikes,BBC One,2/11/2022,Impartiality in choice  of contributors and  treatment of subject  matter,Not Upheld,https://www.bbc.co.uk/contact/ecu/sunday-radio-4-18-september-2022
Match of the Day Live,BBC One,25/11/2022,“Racist” comments,Not Upheld,https://www.bbc.co.uk/contact/ecu/wales-today-bbc-one-wales-7-december-2022
Sunday,Radio 4,18/09/2022,Unchallenged  reference to  shooting by Police of  Mark Duggan as  “murder”,Upheld,https://www.bbc.co.uk/contact/ecu/news-900am-bbc-news-channel-13-january-2023
Wales Today,BBC One  (Wales),7/12/2022,Impartiality over  future of Welsh  devolution,Not Upheld,https://www.bbc.co.uk/contact/ecu/today-radio-4-26-october-2022
News Channel,News,13/01/2023,Unchallenged claim  about the safety  record of Covid  vaccines,Resolved,
Today,Radio 4,26/10/2022,Climate change  inaccuracy,Upheld,
The New Gurus,Radio 4,27/12/2022,Unfair and  disrespectful  account of an online  guru’s work,Not Upheld,
Happy New Year Live!,BBC One,1/1/2023,Use of  “homophobic” term  x2,Not Upheld,
