0,1,2,3,4,Matched URL
rogramme,Service,Date of  Transmission,Issue,Outcome,
Climate Change: The  Facts,BBC One,18/04/2019,Inaccurate on the  causes and  consequences of  climate change x2,Not upheld,
5 Live Breakfast,Radio 5 Live,21/03/2019,Inaccurate to say  sexuality is genetic,Not upheld,
