0,1,2,3,4
Programme,Service,Date of  Transmission,Main Issue(s),Number of  Complaints
Sort Your Life Out,BBC One,01/02/2023,Animal welfare  concerns.,"1,502 (after  invitations to  complain were  posted online)"
Question Time,BBC One,02/02/2023,Discussion biased  against trans-gender  people/panellist.,220
PM,Radio 4,02/02/2023,Unfair  characterisation of JK  Rowling’s views on  trans issues.,199
The Shamima  Begum Story,BBC Two,07/02/2023,Offensive choice of  subject/bias in favour  of Shamima Begum.,387
