0,1,2,3,4
BBC News (1pm),BBC One,12/04/2024,Misleading report on  Post Office enquiry,Not upheld
Election 2024: BBC  Election Debate,BBC One,07/06/2024,Bias towards the left  x 2,Not upheld
Election 2024 Scotland,BBC Scotland,04/07/2024,Failed to point out  guest’s Labour  affiliation,Not upheld
