0,1,2,3,4,Matched URL
The World at One,Radio 4,04/03/2022,Risk from attack on  nuclear plant  exaggerated,Not upheld,
Sportscene: Scottish Cup  Final,BBC Scotland,21/05/2022,Bias against Rangers  FC,Not upheld,
Today,Radio 4,06/01/2022,Bias on outcome of  Colston statue trial,Not upheld,
News (6pm),Radio 4,07/01/2022,Anti-white racism,Not upheld,
