0,1,2,3,4
BBC News (1pm),BBC One,23/11/2019,Bias towards Boris  Johnson in edition of  clip from Question  Time x2,Not upheld
RuPaul’s Drag Race UK,BBC Three,23/11/2019,Offensive to people  with gender  dysphoria,Not upheld
The Graham Norton  Show,BBC One,27/09/2019,Comment on drag  queens would have  been unacceptable if  applied to women,Not upheld
Look North,BBC One  (Yorkshire),09/09/2019,Item on domestic  violence ignored  male victims,Not upheld
Have I Got News for  You,BBC One,04/11/2019,Offensive language,Not upheld
