0,1,2,3,4,Matched URL
Programme,Service,Date of  Transmission,Main Issue(s),Number of  Complaints,
Question Time,BBC One,09/03/2023,Complaints about the  context Fiona Bruce  gave during a  discussion concerning  domestic violence  allegations against  Stanley Johnson.,854,
The Nolan Show,BBC Radio  Ulster,03/03/23,Alleged bias in  Matthew O’Toole  MLA’s treatment.,115,
The World at One,BBC Radio 4,03/03/2023,Felt Jonny Dymond  allowed biased  comments by Nadine  Dorries to go  unchallenged.,108,
