Score,URL,
1.000000,https://www.bbc.co.uk/cbeebies/shows/pablo,
1.000000,https://www.bbc.co.uk/gel/guidelines/how-to-design-for-accessibility,
1.000000,https://www.bbc.co.uk/gel/guidelines/how-to-design-accessible-games,
1.000000,https://www.bbc.co.uk/iplayer/categories/audio-described/featured,
1.000000,https://www.bbc.co.uk/rd/topics/accessibility,
1.000000,https://www.bbc.co.uk/sounds/search?q=1800%20Seconds%20on%20Autism&suggid=urn%3Abbc%3Aprogrammes%3Ap06sdq0x,
1.000000,https://www.bbc.com/aboutthebbc/reports/annualreport,
1.000000,https://www.bbc.com/aboutthebbc/whatwedo/publicservices/accessservices,
1.000000,https://www.bbc.co.uk/editorialguidelines/guidance/visually-and-hearing-impaired-audiences,
1.000000,https://www.bbc.co.uk/opensource/,
1.000000,https://www.bbc.co.uk/accessibility/forproducts/guides/subtitles/,
1.000000,https://www.bbc.co.uk/cbeebies/grownups/everyones-welcome,
1.000000,https://www.bbc.co.uk/supplying/working-with-us/accessibility,
1.000000,https://www.bbc.co.uk/gel/articles/bbc-for-everyone,
1.000000,https://mcmw.abilitynet.org.uk/,
2.000000,https://www.bbc.co.uk,
1.000000,https://www.microsoft.com/en-us/accessibility/features?activetab=pivot_1%3aprimaryr2,
1.000000,https://www.bbc.co.uk/iplayer,
1.000000,https://www.bbc.co.uk/creativediversity/,
1.000000,https://www.bbc.co.uk/food,
1.000000,https://www.bbc.co.uk/cbbc,
2.000000,https://www.bbc.com/,
1.000000,https://www.bbc.co.uk/weather,
1.000000,https://www.bbc.co.uk/cbeebies,
1.000000,https://www.bbc.co.uk/sounds,
1.000000,https://www.bbc.com/business,
2.000000,https://www.bbc.com/news,
1.000000,https://www.bbc.com/video,
2.000000,https://www.bbc.co.uk/news,
1.000000,https://www.bbc.com/innovation,
1.000000,https://www.bbc.com/sport,
1.000000,https://www.bbc.com/culture,
1.000000,https://www.bbc.co.uk/usingthebbc/privacy/,
2.000000,https://www.bbc.com/live,
1.000000,https://www.bbc.co.uk/aboutthebbc,
1.000000,https://www.bbc.co.uk/usingthebbc/terms/,
2.000000,https://www.bbc.com/future-planet,
1.000000,https://www.bbc.com/usingthebbc/privacy/,
1.000000,https://www.bbc.co.uk/accessibility/,
1.000000,https://www.bbc.com/usingthebbc/cookies/,
1.000000,https://www.bbc.co.uk/bitesize,
1.000000,https://www.bbc.co.uk/contact,
1.000000,https://www.bbc.co.uk/guidance,
1.000000,https://www.bbc.co.uk/contact/complaints/,
1.000000,https://www.bbc.co.uk/editorialguidelines/guidance/feeds-and-links,
1.000000,https://www.bbc.co.uk/bbcnewsletter,
1.000000,https://www.bbc.co.uk/accessibility/,
2.000000,https://www.bbc.co.uk,
1.000000,https://www.bbc.com/travel,
1.000000,https://www.bbc.co.uk/sport,
2.000000,https://www.bbc.co.uk/news,
1.000000,https://www.bbc.co.uk/notifications,
1.000000,https://account.bbc.com/account?lang=en-GB&amp;ptrt=https://www.bbc.co.uk/news,
1.000000,https://www.bbc.co.uk/weather,
1.000000,https://youtu.be/u2K9-JPIPjg,
1.000000,https://www.bbc.co.uk/iplayer,
2.000000,https://www.bbc.co.uk,
1.000000,https://www.bbc.co.uk/sport,
1.000000,https://www.bbc.co.uk/cbeebies,
2.000000,https://www.bbc.co.uk/news,
2.000000,https://www.bbc.co.uk/news,
1.000000,https://www.bbc.co.uk/food,
1.000000,https://www.bbc.co.uk/sounds,
2.000000,https://www.bbc.co.uk/news,
1.000000,https://www.bbc.co.uk/weather,
1.000000,https://www.bbc.co.uk/sounds,
2.000000,https://www.bbc.com/news,
1.000000,https://www.bbc.co.uk/cbbc,
1.000000,https://www.bbc.co.uk/cbbc,
1.000000,https://www.bbc.co.uk/bitesize,
1.000000,https://www.bbc.co.uk/food,
1.000000,https://www.tiktok.com/@bbcnews?lang=en,
1.000000,https://www.instagram.com/bbcnews/,
1.000000,https://www.bbc.co.uk/bitesize,
2.000000,https://www.bbc.co.uk,
1.000000,https://www.bbc.co.uk/cbeebies,
2.000000,https://www.bbc.co.uk,
1.000000,https://www.bbc.co.uk/weather,
1.000000,https://www.bbc.co.uk/cbbc,
2.000000,https://www.bbc.co.uk/news,
1.000000,https://www.bbc.co.uk/taster,
1.000000,https://www.bbc.co.uk/sounds,
1.000000,https://www.bbc.co.uk/cbeebies,
1.000000,https://www.bbc.co.uk/food,
1.000000,https://www.bbc.co.uk/sport,
1.000000,https://www.bbc.co.uk/bitesize,
1.000000,https://www.bbc.co.uk/iplayer,
1.000000,https://www.bbc.co.uk/bbcthree,
1.000000,https://www.bbc.co.uk/arts,
1.000000,https://www.bbc.co.uk/news/regions,
1.000000,https://www.bbc.co.uk/aboutthebbc,
1.000000,https://www.bbc.co.uk/accessibility,
1.000000,https://www.bbc.co.uk/usingthebbc/privacy,
1.000000,https://www.bbc.co.uk/sport,
1.000000,https://www.bbc.co.uk/iplayer,
1.000000,https://www.bbc.co.uk/usingthebbc/terms,
1.000000,https://www.bbc.co.uk/bbcnewsletter,
1.000000,https://static.files.bbci.co.uk/orbit/bde9d3f679d1dd3f8768859cc949031d/css/orbit-ltr.min.css,
1.000000,https://www.bbc.co.uk/usingthebbc/cookies,
1.000000,https://static.files.bbci.co.uk/account/id-cta/730/style/id-cta.css,
1.000000,https://static.files.bbci.co.uk/account/id-account/3555/css/components.min.css,
1.000000,https://www.bbc.co.uk/news/help-41670342,
1.000000,https://static.files.bbci.co.uk/account/id-account/3555/css/app.min.css,
1.000000,https://www.bbc.co.uk/editorialguidelines/guidance/feeds-and-links,
1.000000,https://www.bbc.co.uk/contact/complaints,
1.000000,https://www.bbc.co.uk/iplayer/guidance,
1.000000,https://static.bbc.co.uk/frameworks/requirejs/lib.js,
1.000000,https://static.files.bbci.co.uk/account/id-account/3555/css/app.min.css,
1.000000,https://static.files.bbci.co.uk/account/id-account/3555/css/components.min.css,
1.000000,https://www.bbc.co.uk/contact,
1.000000,https://www.bbc.co.uk/usingthebbc/account,
1.000000,https://www.bbc.co.uk/usingthebbc/terms,
1.000000,https://static.files.bbci.co.uk/account/id-account/3555/js/react-bundle.min.js,
